1 ,2024-10-11-09:59:27, source /opt/conda/bin/activate
2 ,2024-10-11-09:59:51, curl v2.wttr.in/London
3 ,2024-10-11-10:00:29, curl v2.wttr.in/Paris
4 ,2024-10-11-10:00:57, curl v2.wttr.in/Bangalore
5 ,2024-10-11-10:04:09, source /opt/conda/bin/activate
6 ,2024-10-11-10:07:15, source /opt/conda/bin/activate
7 ,2024-10-11-10:07:33, curl v2.wttr.in/London
8 ,2024-10-11-10:07:38, curl v2.wttr.in/Paris
9 ,2024-10-11-10:07:59, curl v2.wttr.in/New York
10 ,2024-10-11-10:08:04, curl v2.wttr.in/New-York
11 ,2024-10-11-10:16:47, cd W02-Lab
12 ,2024-10-11-10:16:52, mkdir data
13 ,2024-10-11-10:16:54, cd data
14 ,2024-10-11-10:18:41, curl "https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&current=temperature_2m,wind_speed_10m&hourly=temperature_2m,relative_humidity_2m,wind_speed_10m"
15 ,2024-10-11-10:18:41, { "current": {; "time": "2022-01-01T15:00"; "temperature_2m": 2.4,; "wind_speed_10m": 11.9,; },; "hourly": {; "time": ["2022-07-01T00:00","2022-07-01T01:00", ...]; "wind_speed_10m": [3.16,3.02,3.3,3.14,3.2,2.95, ...],; "temperature_2m": [13.7,13.3,12.8,12.3,11.8, ...],; "relative_humidity_2m": [82,83,86,85,88,88,84,76, ...],; }
16 ,2024-10-11-10:18:41, }
17 ,2024-10-11-10:19:39, curl "https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&current=temperature_2m,wind_speed_10m&hourly=temperature_2m,relative_humidity_2m,wind_speed_10m"
18 ,2024-10-11-10:20:13, cd
19 ,2024-10-11-10:20:15, curl "https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&hourly=temperature_2m,precipitation&start=2024-10-11T00:00:00Z&end=2024-10-11T23:59:59Z&timezone=auto"
20 ,2024-10-11-10:23:29, curl "https://archive-api.open-meteo.com/v1/archive?latitude=52.52&longitude=13.41&start_date=2023-10-11&end_date=2023-10-11&hourly=temperature_2m&timezone=auto"
21 ,2024-10-11-10:23:59, cd W02-Lab/data
22 ,2024-10-11-10:25:30, url https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&hourly=temperature_2m,precipitation&start=2024-10-11T00:00:00Z&end=2024-10-11T23:59:59Z&timezone=auto weather_forecast_2024.json
23 ,2024-10-11-10:26:26, curl https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&hourly=temperature_2m,precipitation&start=2024-10-11T00:00:00Z&end=2024-10-11T23:59:59Z&timezone=auto > weather_forecast_2024.json
24 ,2024-10-11-10:27:51, curl <https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&hourly=temperature_2m,precipitation&start=2024-10-11T00:00:00Z&end=2024-10-11T23:59:59Z&timezone=auto> > weather_forecast_2024.json
25 ,2024-10-11-10:30:49, curl https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&hourly=temperature_2m,precipitation&start=2024-10-11T00:00:00Z&end=2024-10-11T23:59:59Z&timezone=auto > weather_forecast_2024.json
26 ,2024-10-11-10:32:19, curl https://archive-api.open-meteo.com/v1/archive?latitude=52.52&longitude=13.41&start_date=2023-10-11&end_date=2023-10-11&hourly=temperature_2m&timezone=auto > historical_data.json
27 ,2024-10-11-10:35:02, curl "https://archive-api.open-meteo.com/v1/archive?latitude=52.52&longitude=13.41&start_date=2023-10-11&end_date=2023-10-11&hourly=temperature_2m&timezone=auto" > historical_data.json
28 ,2024-10-11-10:35:31, curl "https://api.open-meteo.com/v1/forecast?latitude=52.52&longitude=13.41&hourly=temperature_2m,precipitation&start=2024-10-11T00:00:00Z&end=2024-10-11T23:59:59Z&timezone=auto" > weather_forecast_2024.json
29 ,2024-10-11-10:39:43, cd ..
30 ,2024-10-11-10:40:05, import json
31 ,2024-10-11-10:40:05, with open('./data/historical_data.json') as f:
32 ,2024-10-11-10:40:05, historical_data = json.load(f)
33 ,2024-10-11-10:40:05, with open('./data/weather_forecast_2024.json') as f:
34 ,2024-10-11-10:40:05, weather_forecast = json.load(f)
35 ,2024-10-11-10:01:43, source /opt/conda/bin/activate
36 ,2024-10-11-10:01:47, curl v2.wttr.in/London
37 ,2024-10-11-10:01:53, curl v2.wttr.in/Paris
38 ,2024-10-11-10:01:59, curl v2.wttr.in/Madrid
39 ,2024-10-11-10:02:57, curl v2.wttr.in/New York
40 ,2024-10-11-10:03:06, curl v2.wttr.in/New-York
41 ,2024-10-11-10:05:42, cd W02-Lab
42 ,2024-10-11-09:54:53, mkdir W02-Lab
43 ,2024-10-12-18:07:32, cd W03-Practice
44 ,2024-10-12-18:07:36, mkdir data
45 ,2024-10-12-18:07:40, mkdir code
46 ,2024-10-18-09:40:55, cd W03-Lab
47 ,2024-10-18-09:41:06, mkdir code
48 ,2024-10-18-09:41:11, mkdir data
